description,img,title,url,series,price,autor,pub_house
,http://img1.labirint.ru/books/408805/big.jpg,Путешествие вглубь романа. Лев Толстой: Анна Каренина,http://www.labirint.ru/books/408805,,278,Леннквист Барбара,Языки славянских культур
,http://img1.labirint.ru/books/408805/big.jpg,Путешествие вглубь романа. Лев Толстой: Анна Каренина,http://www.labirint.ru/books/408805,,278,Леннквист Барбара,Языки славянских культур
,http://img1.labirint.ru/books/410595/big.jpg,Махатма Лев Толстой,http://www.labirint.ru/books/410595,,291,Бурба Дмитрий Викторович,Эксмо
,http://img1.labirint.ru/books/446207/big.jpg,Лев Толстой. Психоанализ гениального женоненавистника,http://www.labirint.ru/books/446207,,208,Баганова Мария,АСТ
,http://img1.labirint.ru/books/410595/big.jpg,Махатма Лев Толстой,http://www.labirint.ru/books/410595,,291,Бурба Дмитрий Викторович,Эксмо
,http://img1.labirint.ru/books/446207/big.jpg,Лев Толстой. Психоанализ гениального женоненавистника,http://www.labirint.ru/books/446207,,208,Баганова Мария,АСТ
,http://img1.labirint.ru/books/300973/big.jpg,Л.Н. Толстой. Рассказы для детей,http://www.labirint.ru/books/300973,,229,Толстой Лев Николаевич,Белый город
,http://img1.labirint.ru/books/300973/big.jpg,Л.Н. Толстой. Рассказы для детей,http://www.labirint.ru/books/300973,,229,Толстой Лев Николаевич,Белый город
,http://img1.labirint.ru/books/426252/big.jpg,Лев Толстой. Последний дневник. Игорь Волгин. Уйти ото всех,http://www.labirint.ru/books/426252,,413,Толстой Лев Николаевич,ВК
,http://img1.labirint.ru/books/369972/big.jpg,Орёл. Лев и собачка,http://www.labirint.ru/books/369972,,28,Толстой Лев Николаевич,Яблоко
,http://img1.labirint.ru/books/369972/big.jpg,Орёл. Лев и собачка,http://www.labirint.ru/books/369972,,28,Толстой Лев Николаевич,Яблоко
,http://img1.labirint.ru/books/404161/big.jpg,Лев и собачка,http://www.labirint.ru/books/404161,,248,Толстой Лев Николаевич,Речь
,http://img1.labirint.ru/books/414283/big.jpg,Кукла Лев и собачка,http://www.labirint.ru/books/414283,,"302,248",Черкашин Геннадий Александрович Толстой Лев Николаевич,Речь
,http://img1.labirint.ru/books/461339/big.jpg,Лев и мышь,http://www.labirint.ru/books/461339,,15,Толстой Лев Николаевич,Адонис
,http://img1.labirint.ru/books/461339/big.jpg,Лев и мышь,http://www.labirint.ru/books/461339,,15,Толстой Лев Николаевич,Адонис
,http://img1.labirint.ru/books/508590/big.jpg,"Лев, медведь и лисица",http://www.labirint.ru/books/508590,,20,Толстой Лев Николаевич,Адонис
,http://img1.labirint.ru/books/256659/big.jpg,Лев Толстой: Бегство из рая,http://www.labirint.ru/books/256659,,474,Басинский Павел Валерьевич,АСТ
,http://img1.labirint.ru/books/48944/big.jpg,Записки из подполья : Повесть,http://www.labirint.ru/books/48944,,90,Достоевский Федор Михайлович,Азбука
,http://img1.labirint.ru/books/256659/big.jpg,Лев Толстой: Бегство из рая,http://www.labirint.ru/books/256659,,474,Басинский Павел Валерьевич,АСТ
,http://img1.labirint.ru/books/492635/big.jpg,Вечный муж. Кроткая,http://www.labirint.ru/books/492635,,90,Достоевский Федор Михайлович,Азбука
,http://img1.labirint.ru/books/48944/big.jpg,Записки из подполья : Повесть,http://www.labirint.ru/books/48944,,90,Достоевский Федор Михайлович,Азбука
,http://img1.labirint.ru/books/214887/big.jpg,Белые ночи: повести,http://www.labirint.ru/books/214887,,100,Достоевский Федор Михайлович,Азбука
,http://img1.labirint.ru/books/492635/big.jpg,Вечный муж. Кроткая,http://www.labirint.ru/books/492635,,90,Достоевский Федор Михайлович,Азбука
,http://img1.labirint.ru/books/214887/big.jpg,Белые ночи: повести,http://www.labirint.ru/books/214887,,100,Достоевский Федор Михайлович,Азбука
,http://img1.labirint.ru/books/491512/big.jpg,Село Степанчиково и его обитатели,http://www.labirint.ru/books/491512,,90,Достоевский Федор Михайлович,Азбука
